AQW00061705       11343C
USC00114108        4381S
USC00114198        3786S
USC00114317        4136Q
USC00114400        4065R
USC00114442        3752S
USC00114447        3939Q
USC00114489        3969S
USC00114530        3421S
USC00114603        3510S
USC00114629        4453R
USC00114710        3280R
USC00114780        3445Q
USC00114805        3873S
USC00114823        3659R
USC00114837        3030R
USC00114957        4182R
USC00114991        4197Q
USC00115079        3728R
USC00115097        3116Q
USC00115113        3806Q
USC00115326        3108R
USC00115342        3978R
USC00115372        3271R
USC00115413        3776R
USC00115430        3981R
USC00115493        2939R
USC00115515        4218R
USC00115712        3554S
USC00115768        3698S
USC00115772        3446R
USC00115825        3509R
USC00115833        3373S
USC00115841        3839S
USC00115888        4301S
USC00115901        3221R
USC00115943        4048S
USC00115950        3924R
USC00115961        2994R
USC00116011        4208S
USC00116025        3912Q
USC00116080        3604R
USC00116157        4077R
USC00116159        3662R
USC00116200        3562R
USC00116383        4636R
USC00116446        4087S
USC00116526        3528S
USC00116558        4119R
USC00116579        3890R
USC00116610        3815S
USC00116616        3376S
USC00116661        2970R
USC00116663        3401R
USC00116738        3863R
USC00116753        3426S
USC00116819        3573S
USC00116837        3873R
USC00116897        3338R
USC00116910        3532S
USC00116970        3717Q
USC00116998        3499R
USC00117004        3553S
USC00117077        3964R
USC00117126        3849R
USC00117187        4359Q
USC00117345        3990Q
USC00117354        3091S
USC00117391        3758R
USC00117457        3392R
USC00117487        4347R
USC00117551        3754R
USC00117590        3397Q
USC00117636        4169C
USC00117876        3980R
USC00117952        3655Q
USC00118020        4470S
USC00118147        4222S
USC00118186        3865Q
USC00118293        3063S
USC00118324        3188R
USC00118389        3661R
USC00118684        3774S
USC00118740        3690S
USC00118781        4000S
USC00118860        4162S
USC00118916        3305S
USC00119002        4350R
USC00119021        3441S
USC00119029        2971R
USC00119221        3162S
USC00119241        3822S
USC00119331        3903R
USC00119354        3943S
USC00120177        3572S
USC00120200        2967S
USC00120331        3517R
USC00120676        3505S
USC00120784        3892S
USC00120830        3417S
USC00120852        4487R
USC00120858        3330R
USC00121030        3874S
USC00121229        3223R
USC00121303        3583R
USC00121417        3286Q
USC00121425        4242R
USC00121739        3160S
USC00121747        3911S
USC00121869        4325R
USC00121873        3352R
USC00122096        3325Q
USC00122149        3548S
USC00122309        4106S
USC00122638        3479S
USC00122660        4304R
USC00122731        5106R
USC00122825        3424C
USC00123078        3373Q
USC00123082        3490S
USC00123091        3635Q
USC00123104        3973S
USC00123206        3078Q
USC00123207        3234R
USC00123418        3285S
USC00123513        3507S
USC00123527        3614S
USC00123547        3905C
USC00123777        3460R
USC00124008        3269R
USC00124181        3418S
USC00124244        3176R
USC00124272        3578S
USC00124356        3523R
USC00124527        3600R
USC00124550        3394R
USC00124657        3374Q
USC00124662        3421S
USC00124711        3873Q
USC00124715        3587S
USC00124730        3106R
USC00124782        3110R
USC00124837        3276S
USC00124977        3579Q
USC00125117        3404R
USC00125174        3312C
USC00125237        4293S
USC00125337        3447S
USC00125407        3591S
USC00125658        3371R
USC00126001        4553S
USC00126164        3372S
USC00126304        3637R
USC00126400        3249Q
USC00126420        3255Q
USC00126435        4083R
USC00126506        3483R
USC00126580        3838S
USC00126705        3977S
USC00126830        3757R
USC00126872        3922R
USC00126989        3235R
USC00127069        3378R
USC00127102        3195R
USC00127125        4241S
USC00127298        3439S
USC00127370        3563S
USC00127482        3278R
USC00127522        3934S
USC00127646        3589C
USC00127724        4465S
USC00127755        4166S
USC00127875        4035R
USC00127935        3794S
USC00127959        3873R
USC00127999        3768R
USC00128036        3876S
USC00128290        3686S
USC00128442        4372Q
USC00128698        4631S
USC00128723        4106R
USC00128784        3345R
USC00128967        4541Q
USC00128992        3064Q
USC00128999        3333R
USC00129080        4294R
USC00129112        4245Q
USC00129113        4165S
USC00129138        3338R
USC00129222        3128S
USC00129240        3226S
USC00129253        4431R
USC00129430        3509C
USC00129511        3391R
USC00129557        3689S
USC00129670        3339S
USC00129678        3387S
USC00129724        3101Q
USC00129905        3390R
USC00130112        3483S
USC00130133        2931R
USC00130149        3453R
USC00130157        3121S
USC00130200        3483S
USC00130203        3240R
USC00130213        3090S
USC00130241        3522S
USC00130364        3455S
USC00130385        3242S
USC00130536        3401S
USC00130576        3608S
USC00130600        3224S
USC00130608        3234S
USC00130753        3589S
USC00130807        3205S
USC00130923        2904S
USC00131060        3653S
USC00131233        3277C
USC00131257        3081S
USC00131277        3264S
USC00131319        3574C
USC00131354        3546R
USC00131394        3367S
USC00131402        3044S
USC00131442        3158S
USC00131533        3448R
USC00131541        3177R
USC00131635        3577C
USC00131705        3004Q
USC00131710        3195S
USC00131731        3436S
USC00131833        3432R
USC00131954        2737C
USC00131962        3391S
USC00132110        3186S
USC00132171        3482S
USC00132209        3510R
USC00132299        3638Q
USC00132364        3328S
USC00132573        3096S
USC00132603        3082S
USC00132689        2947S
USC00132724        2892S
USC00132789        3801C
USC00132864        2916S
USC00132977        2974S
USC00132999        3183S
USC00133007        3888C
USC00133288        3472Q
USC00133290        3731S
USC00133438        3676S
USC00133473        3127C
USC00133487        3114C
USC00133509        3339S
USC00133517        3313S
USC00133584        3047S
USC00133632        3365R
USC00133718        3188S
USC00133909        3210Q
USC00133980        2971R
USC00133985        3213R
USC00134038        3245R
USC00134049        3081S
USC00134063        3450S
USC00134101        3747S
USC00134142        3115S
USC00134228        3365S
USC00134381        3819S
USC00134389        3832S
USC00134502        3549S
USC00134561        3224C
USC00134585        3639S
USC00134705        3572S
USC00134735        3231S
USC00134758        3444S
USC00134874        3385Q
USC00134894        3500S
USC00134963        3220Q
USC00135086        2962S
USC00135123        3336S
USC00135131        2999S
USC00135198        3221S
USC00135230        2857S
USC00135493        2911S
USC00135769        3436S
USC00135796        3768S
USC00135837        3783S
USC00135844        3537R
USC00135952        2818S
USC00135992        3327S
USC00136103        2739S
USC00136151        3490R
USC00136199        2959Q
USC00136200        2998R
USC00136243        3486S
USC00136305        2913S
USC00136316        3520R
USC00136327        3422S
USC00136566        3348C
USC00136719        3183S
USC00136766        3166R
USC00136800        3339S
USC00136910        3561R
USC00136940        3697S
USC00137147        3076S
USC00137161        3158S
USC00137312        3058S
USC00137386        2953S
USC00137594        2868S
USC00137613        3820S
USC00137664        2897S
USC00137669        3719S
USC00137678        3388S
USC00137700        3414C
USC00137726        3069S
USC00137844        3026S
USC00137859        3053R
USC00137892        2959Q
USC00137979        3140S
USC00138026        2924R
USC00138266        3374S
USC00138296        3149S
USC00138339        2992R
USC00138568        3338S
USC00138688        3473S
USC00138755        2841R
USC00138806        3164S
USC00139067        3270S
USC00139132        3374R
USC00140010        4629S
USC00140200        3902Q
USC00140201        4112R
USC00140365        4570S
USC00140405        4065S
USC00140439        3848S
USC00140682        3918S
USC00140693        4231R
USC00140800        4519R
USC00140810        4619Q
USC00140865        4114R
USC00140957        4062Q
USC00141029        3602R
USC00141068        4004R
USC00141179        3752Q
USC00141351        4134S
USC00141383        4086S
USC00141408        3804R
USC00141428        4520R
USC00141522        4285S
USC00141559        4166S
USC00141612        4124S
USC00141673        4661Q
USC00141699        3767S
USC00141704        4854S
USC00141740        4632S
USC00141761        3934Q
USC00141858        4311S
USC00141867        4145S
USC00141874        3932Q
USC00142401        4434R
USC00142430        4742R
USC00142432        4406S
USC00142459        4199R
USC00142548        4183S
USC00142602        3888R
USC00142622        4346R
USC00142686        4476R
USC00142773        4348S
USC00142835        4600S
USC00142894        4526R
USC00142980        4136S
USC00143008        4330R
USC00143074        4546S
USC00143100        4083R
USC00143156        3470Q
USC00143218        4652S
USC00143223        4242Q
USC00143239        4209R
USC00143527        4177S
USC00143545        4523R
USC00143554        4109S
USC00143594        4200S
USC00143634        3902Q
USC00143665        4006R
USC00143686        4233R
USC00143759        3890R
USC00143810        4075R
USC00143822        4536S
USC00143837        3723S
USC00143847        4638S
USC00143855        4329R
USC00143867        4352R
USC00143929        4219R
USC00143930        4279S
USC00143954        4727S
USC00143984        4374S
USC00144087        4132R
USC00144104        4230R
USC00144114        4281R
USC00144178        4130S
USC00144313        4470R
USC00144333        4446R
USC00144357        3919R
USC00144464        4231S
USC00144530        4254R
USC00144559        4166R
USC00144588        4285R
USC00144665        3872R
USC00144695        4468S
USC00144712        4159R
USC00144857        3845S
USC00144972        4372S
USC00144982        3870R
USC00145039        4260S
USC00145063        4074S
USC00145127        3676R
USC00145152        4325R
USC00145171        4497R
USC00145173        4808R
USC00145210        4224R
USC00145306        4171S
USC00145363        4244R
USC00145421        4166R
USC00145528        4191S
USC00145536        4495S
USC00145692        4175R
